PatientNHSNumber,Name,Age,Gender,Date_of_Admission,Medical_Record_Number,Medical_History,Chief_Complaint,History_of_Present_Illness,Physical_Examination,Assessment_and_Plan,NHS_Trust_Region
7392185406,Daniel Scott,55,Male,November 15, 2025,543210987,"Hypertension, Type 2 Diabetes Mellitus, Chronic Kidney Disease","Fatigue and pedal edema","Complaining of persistent fatigue and swelling in both lower extremities. Denies chest pain or dyspnea.","Blood Pressure: 150/90 mmHg, Peripheral edema in lower extremities up to the ankles.","1. Order comprehensive metabolic panel and urinalysis. 2. Adjust antihypertensive medication regimen. 3. Educate on dietary restrictions and fluid management. 4. Refer to nephrology for further evaluation and management of chronic kidney disease.",North_West
2670943185,Laura Miller,35,Female,December 30, 2025,109876543,"Asthma, Allergic Rhinitis, Anxiety","Shortness of breath and wheezing","Presenting with acute exacerbation of asthma characterized by shortness of breath and audible wheezing. Denies fever or chest pain.","Respiratory Rate: 28 bpm, Audible wheezing on auscultation. Oxygen saturation: 92% on room air.","1. Administer inhaled short-acting beta agonists and systemic corticosteroids. 2. Consider nebulized bronchodilators for severe exacerbation. 3. Educate on asthma action plan and trigger avoidance. 4. Schedule follow-up to assess response to treatment and adjust therapy as needed.",South_East
5839142076,Mark Johnson,42,Male,January 15, 2025,135792468,"Hypertension, Type 2 Diabetes Mellitus, Asthma","Shortness of breath and chest pain","Experiencing shortness of breath and chest pain. Denies fever or cough.","Blood Pressure: 140/90 mmHg, Respiratory Rate: 24 bpm, Wheezing auscultated bilaterally.","1. Administer nitroglycerin and aspirin. 2. Initiate bronchodilators for asthma. 3. Monitor for signs of respiratory distress. 4. Recommend lifestyle modifications for hypertension and diabetes management.",North_East_and_Yorkshire
9316740258,Anna Brown,38,Female,February 10, 2025,246813579,"Anxiety, Depression, Migraine","Mood swings and headache","Complaining of mood swings and frequent headaches. Denies visual disturbances or focal neurological deficits.","Vital signs stable. Neurological examination unremarkable.","1. Initiate selective serotonin reuptake inhibitor (SSRI) therapy for anxiety and depression. 2. Prescribe triptans for acute migraine relief. 3. Recommend stress management techniques. 4. Schedule regular follow-up for therapy evaluation.",South_West
8405297163,James Wilson,58,Male,March 5, 2025,369258147,"Coronary Artery Disease, Hypertension, Hyperlipidemia","Chest pain and palpitations","Experiencing chest pain and palpitations. Denies dyspnea or diaphoresis.","Blood Pressure: 160/100 mmHg, EKG shows ST-segment depression in leads V1-V3.","1. Administer sublingual nitroglycerin. 2. Order troponin levels and cardiac enzymes. 3. Perform echocardiogram. 4. Consult cardiology for further evaluation.",Midlands
1739458206,Emma Garcia,30,Female,April 20, 2025,582964173,"Type 1 Diabetes Mellitus, Depression, Anxiety","Hypoglycemia and mood swings","Experiencing frequent episodes of hypoglycemia associated with mood swings and irritability. Denies suicidal ideation or changes in appetite.","Blood Glucose: 50 mg/dL, Vital signs stable.","1. Educate on hypoglycemia management. 2. Adjust insulin therapy regimen. 3. Start selective serotonin reuptake inhibitor (SSRI) therapy. 4. Recommend psychotherapy and stress management techniques.",South_East
4259863017,Rachel Smith,47,Female,May 10, 2025,674129583,"Hypertension, Osteoarthritis, Depression","Joint pain and low mood","Complaining of persistent joint pain and low mood. Denies fever or weight changes.","Limited range of motion in affected joints. Tender and swollen MCP and PIP joints bilaterally.","1. Prescribe nonsteroidal anti-inflammatory drugs (NSAIDs) for pain relief. 2. Start selective serotonin reuptake inhibitor (SSRI) therapy. 3. Refer to rheumatology for joint evaluation. 4. Recommend stress-reduction techniques and regular exercise.",North_West
6948213057,David Clark,65,Male,June 15, 2025,748596213,"Chronic Obstructive Pulmonary Disease (COPD), Hypertension, Type 2 Diabetes Mellitus","Exacerbation of COPD","Presenting with increased dyspnea, productive cough, and wheezing. Denies fever or chest pain.","Respiratory Rate: 28 bpm, Oxygen Saturation: 88% on room air, Bilateral wheezing and prolonged expiration.","1. Administer oxygen therapy. 2. Prescribe systemic corticosteroids and bronchodilators. 3. Perform arterial blood gas analysis. 4. Consider non-invasive ventilation if respiratory distress worsens.",East_of_England
7592341680,Julia Martinez,55,Female,July 20, 2025,895231467,"Hypothyroidism, Depression, Fibromyalgia","Fatigue and joint pain","Complaining of persistent fatigue and generalized body pain. Denies fever or weight changes.","Thyroid gland not palpable. Tender points noted in multiple areas. No signs of synovitis or effusion.","1. Initiate levothyroxine for hypothyroidism. 2. Start selective serotonin reuptake inhibitor (SSRI) therapy. 3. Refer to pain management for fibromyalgia treatment. 4. Recommend stress-reduction techniques and regular exercise.",South_West
8307569142,Andrew Taylor,48,Male,August 5, 2025,962847513,"Atrial Fibrillation, Hypertension, Type 2 Diabetes Mellitus","Palpitations and fatigue","Experiencing palpitations and fatigue. Denies syncope or shortness of breath at rest.","Irregularly irregular pulse, Blood Pressure: 160/95 mmHg, EKG shows atrial fibrillation with rapid ventricular response.","1. Initiate anticoagulation therapy. 2. Prescribe rate or rhythm control medications. 3. Order echocardiogram. 4. Educate on stroke prevention strategies and lifestyle modifications.",North_East_and_Yorkshire
2068457913,Samantha White,32,Female,September 10, 2025,321479586,"Asthma, Allergic Rhinitis, Anxiety","Shortness of breath and wheezing","Presenting with acute exacerbation of asthma characterized by shortness of breath and wheezing. Denies fever or chest pain.","Respiratory Rate: 26 bpm, Wheezing auscultated bilaterally. Oxygen saturation: 92% on room air.","1. Administer inhaled short-acting beta agonists and systemic corticosteroids. 2. Consider nebulized bronchodilators for severe exacerbation. 3. Educate on asthma action plan and trigger avoidance. 4. Schedule follow-up to assess response to treatment and adjust therapy as needed.",South_East
5723986104,Thomas Johnson,55,Male,October 25, 2025,874596213,"Hypertension, Type 2 Diabetes Mellitus, Chronic Kidney Disease","Fatigue and pedal edema","Complaining of persistent fatigue and swelling in both lower extremities. Denies chest pain or dyspnea.","Blood Pressure: 150/90 mmHg, Peripheral edema in lower extremities up to the ankles.","1. Order comprehensive metabolic panel and urinalysis. 2. Adjust antihypertensive medication regimen. 3. Educate on dietary restrictions and fluid management. 4. Refer to nephrology for further evaluation and management of chronic kidney disease.",East_of_England
9648012375,Olivia Garcia,28,Female,November 10, 2025,123459876,"Major Depressive Disorder, Anxiety, Migraine","Depression and frequent headaches","Reports persistent low mood, anhedonia, and feelings of worthlessness. Also complains of frequent migraines with aura.","Vital signs stable. Neurological examination unremarkable.","1. Initiate selective serotonin reuptake inhibitor (SSRI) therapy for depression. 2. Prescribe triptans for acute migraine relief. 3. Recommend psychotherapy and stress management techniques. 4. Schedule regular follow-up appointments to monitor treatment response and adjust therapy as needed.",North_East_and_Yorkshire
7329408156,Ethan Thompson,35,Male,December 20, 2025,987654321,"Type 2 Diabetes Mellitus, Hypertension, Dyslipidemia","Foot ulcer and visual changes","Presenting with a non-healing foot ulcer and blurred vision in the left eye. Denies fever or chills. Reports occasional mild pain at the ulcer site.","Blood Pressure: 150/90 mmHg, Blood glucose: 220 mg/dL, Wound inspection reveals signs of infection with surrounding erythema.","1. Initiate broad-spectrum antibiotics. 2. Consult ophthalmology for diabetic retinopathy evaluation. 3. Optimize glycemic control with insulin therapy. 4. Educate on proper foot care and daily wound dressing.",South_East
4862759013,Natalie Martin,50,Female,January 15, 2026,654321987,"Hypothyroidism, Depression, Fibromyalgia","Fatigue and joint pain","Complaining of persistent fatigue and generalized body pain. Denies fever or weight changes.","Thyroid gland not palpable. Tender points noted in multiple areas. No signs of synovitis or effusion.","1. Initiate levothyroxine for hypothyroidism. 2. Start selective serotonin reuptake inhibitor (SSRI) therapy. 3. Refer to pain management for fibromyalgia treatment. 4. Recommend stress-reduction techniques and regular exercise.",North_West
6301578249,Logan Lee,45,Male,February 5, 2026,135792468,"Chronic Kidney Disease, Hypertension, Type 2 Diabetes Mellitus","Fatigue and pedal edema","Complaining of persistent fatigue and swelling in both lower extremities. Denies chest pain or dyspnea.","Blood Pressure: 160/95 mmHg, Peripheral edema in lower extremities up to the ankles.","1. Order comprehensive metabolic panel and urinalysis. 2. Adjust antihypertensive medication regimen. 3. Educate on dietary restrictions and fluid management. 4. Refer to nephrology for further evaluation and management of chronic kidney disease.",South_West
8952137604,Avery Wilson,42,Female,March 20, 2026,246813579,"Asthma, Allergic Rhinitis, Anxiety","Shortness of breath and wheezing","Presenting with acute exacerbation of asthma characterized by shortness of breath and wheezing. Denies fever or chest pain.","Respiratory Rate: 28 bpm, Wheezing auscultated bilaterally. Oxygen saturation: 92% on room air.","1. Administer inhaled short-acting beta agonists and systemic corticosteroids. 2. Consider nebulized bronchodilators for severe exacerbation. 3. Educate on asthma action plan and trigger avoidance. 4. Schedule follow-up to assess response to treatment and adjust therapy as needed.",East_of_England
1573094826,Hannah Brown,38,Female,April 10, 2026,369258147,"Hypertension, Type 2 Diabetes Mellitus, Hyperlipidemia","Chest pain and palpitations","Experiencing chest pain and palpitations. Denies dyspnea or diaphoresis.","Blood Pressure: 140/90 mmHg, Pulse Rate: 80 bpm, EKG shows sinus rhythm.","1. Administer nitroglycerin and aspirin. 2. Initiate beta-blockers for rate control. 3. Monitor for signs of cardiac ischemia. 4. Recommend lifestyle modifications for hypertension and diabetes management.",London
2186439570,Grace Garcia,30,Female,May 5, 2026,582964173,"Anxiety, Depression, Migraine","Mood swings and headache","Complaining of mood swings and frequent headaches. Denies visual disturbances or focal neurological deficits.","Vital signs stable. Neurological examination unremarkable.","1. Initiate selective serotonin reuptake inhibitor (SSRI) therapy for anxiety and depression. 2. Prescribe triptans for acute migraine relief. 3. Recommend stress management techniques. 4. Schedule regular follow-up for therapy evaluation.",Midlands
9425180736,Isaac Taylor,58,Male,June 15, 2026,748596213,"Coronary Artery Disease, Hypertension, Hyperlipidemia","Chest pain and palpitations","Experiencing chest pain and palpitations. Denies dyspnea or diaphoresis.","Blood Pressure: 160/100 mmHg, Pulse Rate: 90 bpm, EKG shows ST-segment depression in leads V1-V3.","1. Administer sublingual nitroglycerin. 2. Order troponin levels and cardiac enzymes. 3. Perform echocardiogram. 4. Consult cardiology for further evaluation.",South_East
5086179342,Evelyn Johnson,35,Female,July 20, 2026,895231467,"Type 1 Diabetes Mellitus, Depression, Anxiety","Hypoglycemia and mood swings","Experiencing frequent episodes of hypoglycemia associated with mood swings and irritability. Denies suicidal ideation or changes in appetite.","Blood Glucose: 50 mg/dL, Vital signs stable.","1. Educate on hypoglycemia management. 2. Adjust insulin therapy regimen. 3. Start selective serotonin reuptake inhibitor (SSRI) therapy. 4. Recommend psychotherapy and stress management techniques.",North_East_and_Yorkshire
7312968405,Owen White,47,Male,August 25, 2026,321479586,"Hypertension, Osteoarthritis, Depression","Joint pain and low mood","Complaining of persistent joint pain and low mood. Denies fever or weight changes.","Limited range of motion in affected joints. Tender and swollen MCP and PIP joints bilaterally.","1. Prescribe nonsteroidal anti-inflammatory drugs (NSAIDs) for pain relief. 2. Start selective serotonin reuptake inhibitor (SSRI) therapy. 3. Refer to rheumatology for joint evaluation. 4. Recommend stress-reduction techniques and regular exercise.",North_West
